Date,Close/Last,Volume,Open,High,Low
11/18/2020, 1746.78, 1173466, 1765.23, 1773.47, 1746.14
11/17/2020, 1770.15, 1147114, 1776.94, 1785, 1767
11/16/2020, 1781.38, 1246785, 1771.7, 1799.07, 1767.69
11/13/2020, 1777.02, 1500574, 1757.63, 1781.04, 1744.55
11/12/2020, 1749.84, 1248754, 1747.63, 1768.27, 1745.6
11/11/2020, 1752.71, 1263966, 1750, 1764.22, 1747.365
11/10/2020, 1740.39, 2636142, 1731.09, 1763, 1717.3
11/09/2020, 1763, 2268270, 1790.9, 1818.06, 1760.02
11/06/2020, 1761.75, 1661225, 1753.95, 1772.43, 1740.35
11/05/2020, 1763.37, 2065812, 1781, 1793.64, 1750.51
11/04/2020, 1749.13, 3570927, 1710.28, 1771.365, 1706.0301
11/03/2020, 1650.21, 1661653, 1631.78, 1661.7, 1616.6201
11/02/2020, 1626.03, 2535446, 1628.16, 1660.77, 1616.03
10/30/2020, 1621.01, 4330862, 1672.11, 1687, 1604.46
10/29/2020, 1567.24, 2003064, 1522.36, 1593.71, 1522.24
10/28/2020, 1516.62, 1833959, 1559.74, 1561.35, 1514.62
10/27/2020, 1604.26, 1229002, 1595.67, 1606.845, 1582.78
10/26/2020, 1590.45, 1853254, 1625.01, 1638.24, 1576.5
10/23/2020, 1641, 1375844, 1626.07, 1642.36, 1620.51
10/22/2020, 1615.33, 1434042, 1593.05, 1621.99, 1585
10/21/2020, 1593.31, 2568345, 1573.33, 1618.73, 1571.6301
10/20/2020, 1555.93, 2242572, 1527.05, 1577.5, 1525.67
10/19/2020, 1534.61, 1607075, 1580.46, 1588.15, 1528
10/16/2020, 1573.01, 1435137, 1565.85, 1581.13, 1563
10/15/2020, 1559.13, 1540817, 1547.15, 1575.105, 1545.03
10/14/2020, 1568.08, 1930990, 1578.59, 1587.6841, 1550.53
10/13/2020, 1571.68, 1601043, 1583.73, 1590, 1563.2
10/12/2020, 1569.15, 2482560, 1543, 1593.86, 1532.57
10/09/2020, 1515.22, 1435542, 1494.7, 1516.52, 1489.45
10/08/2020, 1485.93, 1187831, 1465.09, 1490, 1465.09
10/07/2020, 1460.29, 1746156, 1464.29, 1468.96, 1436
10/06/2020, 1453.44, 1245423, 1475.58, 1486.76, 1448.5901
10/05/2020, 1486.02, 1113257, 1466.21, 1488.21, 1464.27
10/02/2020, 1458.42, 1284071, 1462.03, 1483.2, 1450.92
10/01/2020, 1490.09, 1779497, 1484.27, 1499.04, 1479.21
09/30/2020, 1469.6, 1701608, 1466.8, 1489.75, 1459.88
09/29/2020, 1469.33, 979102, 1470.39, 1476.6632, 1458.805
09/28/2020, 1464.52, 2007941, 1474.21, 1476.8, 1449.3012
09/25/2020, 1444.96, 1323375, 1432.63, 1450, 1413.34
09/24/2020, 1428.29, 1450216, 1411.03, 1443.7088, 1409.85
09/23/2020, 1415.21, 1657350, 1458.78, 1460.96, 1407.7
09/22/2020, 1465.46, 1583201, 1450.09, 1469.52, 1434.53
09/21/2020, 1431.16, 2888827, 1440.06, 1448.36, 1406.55
09/18/2020, 1459.99, 3103882, 1498.01, 1503.0032, 1437.13
09/17/2020, 1495.53, 1879751, 1496, 1508.2984, 1470.0001
09/16/2020, 1520.9, 1312299, 1555.54, 1562, 1519.82
09/15/2020, 1541.44, 1331082, 1536, 1559.57, 1531.835
09/14/2020, 1519.28, 1696589, 1539.005, 1563.9999, 1515.74
09/11/2020, 1520.72, 1597087, 1536, 1575.2, 1497.36
09/10/2020, 1532.02, 1618557, 1560.64, 1584.081, 1525.805
09/09/2020, 1556.96, 1774704, 1557.53, 1569, 1536.0511
09/08/2020, 1532.39, 2610884, 1533.51, 1563.865, 1528.01
09/04/2020, 1591.04, 2608568, 1624.26, 1645.11, 1547.6125
09/03/2020, 1641.84, 3107763, 1709.7143, 1709.7143, 1615.06
09/02/2020, 1728.28, 2511180, 1673.7754, 1733.1799, 1666.3301
09/01/2020, 1660.71, 1826655, 1636.63, 1665.73, 1632.22
08/31/2020, 1634.18, 1823406, 1647.89, 1647.965, 1630.31
08/28/2020, 1644.41, 1499782, 1633.49, 1647.1699, 1630.75
08/27/2020, 1634.33, 1861602, 1653.68, 1655, 1625.75
08/26/2020, 1652.38, 3581072, 1608, 1659.22, 1603.6
08/25/2020, 1608.22, 2132084, 1582.07, 1611.62, 1582.07
08/24/2020, 1588.2, 1410229, 1593.98, 1614.17, 1580.57
08/21/2020, 1580.42, 1446453, 1577.03, 1597.72, 1568.005
08/20/2020, 1581.75, 1706877, 1543.45, 1585.87, 1538.2
08/19/2020, 1547.53, 1660611, 1553.31, 1573.68, 1543.95
08/18/2020, 1558.6, 2027086, 1526.18, 1562.47, 1523.71
08/17/2020, 1517.98, 1378600, 1514.67, 1525.61, 1507.97
08/14/2020, 1507.73, 1355200, 1515.66, 1521.9, 1502.88
08/13/2020, 1518.45, 1455208, 1510.34, 1537.25, 1508.005
